rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Kitchen,Wifi,Dedicated workspace,Pets allowed,TV,Portable air conditioning,Luggage dropoff allowed,Microwave,Exterior security cameras on property,Carbon monoxide alarm,Superhost,guest_favorite,Free street parking,Elevator,Long term stays allowed,Smoke alarm,Guest favorite,Courtyard view,Patio or balcony,Backyard,Washer,Air conditioning,Haceb refrigerator,Fast wifi – 94 Mbps,Hair dryer,Free parking on premises,Crib,Refrigerator,Private patio or balcony,City skyline view,Fast wifi – 599 Mbps,Smoking allowed,Hot tub,Paid washer – In building,Paid dryer – In building,Dryer,Mountain view,Free washer – In unit,TV with standard cable,LG refrigerator,32 inch HDTV with Netflix,AC - split type ductless system,Fast wifi – 120 Mbps,Fast wifi – 93 Mbps,Free parking garage on premises,Private hot tub - available all year,Sauna,Fast wifi – 354 Mbps,65 inch HDTV with Netflix,Fast wifi – 396 Mbps,Free parking garage on premises – 1 space,Shared sauna,Garden view,Fast wifi – 446 Mbps,Private hot tub - available all year,open 24 hours,Free carport on premises,56 inch HDTV with standard cable,Central air conditioning,Shared patio or balcony,Fast wifi – 240 Mbps,Shared indoor pool - available seasonally,open specific hours,Wifi – 28 Mbps,32 inch HDTV,High chair,Fast wifi – 164 Mbps,Shared outdoor pool - available all year,open specific hours,rooftop,43 inch HDTV with Netflix,premium cable,HDTV,40 inch HDTV,Fast wifi – 200 Mbps,HDTV with standard cable,Free dryer – In unit,Shared hot tub,Park view,Fast wifi – 510 Mbps,Free washer – In building,55 inch HDTV,Fast wifi – 463 Mbps,43 inch HDTV with HBO Max,Netflix,standard cable,Private backyard – Fully fenced,Free driveway parking on premises – 3 spaces,HDTV with Netflix,Pool,Fast wifi – 185 Mbps,55 inch HDTV with Netflix,43 inch HDTV,43 inch HDTV with Netflix,standard cable,Valley view,Fast wifi – 303 Mbps,Fast wifi – 60 Mbps,32 inch TV,Shared backyard – Not fully fenced,Fast wifi – 231 Mbps,Free dryer – In building,42 inch HDTV with Netflix,50 inch HDTV with Netflix,standard cable,43 inch HDTV with Amazon Prime Video,Netflix,standard cable,Private hot tub,Free dryer,Fast wifi – 140 Mbps,TV with Netflix,standard cable,Wifi – 35 Mbps,58 inch HDTV with Netflix,standard cable,Window AC unit,45 inch HDTV with Netflix,Amazon Prime Video,Chromecast,55 inch TV with Netflix,standard cable,Wifi – 31 Mbps,32 inch HDTV with premium cable,Fast wifi – 466 Mbps,Free residential garage on premises,Private backyard,Fast wifi – 105 Mbps,43 inch HDTV with Netflix,43 inch HDTV with Amazon Prime Video,Disney+,Netflix,Fast wifi – 187 Mbps,35 inch HDTV with premium cable,47 inch TV with standard cable,Shared outdoor pool - open specific hours,rooftop,32 inch HDTV with Fire TV,standard cable,Bathtub,25 inch TV,TV with Netflix,Fast wifi – 59 Mbps,HDTV with Amazon Prime Video,Disney+,Netflix,Free driveway parking on premises,HDTV with Chromecast,40 inch HDTV with Amazon Prime Video,Chromecast,Netflix,43 inch HDTV with standard cable,Pack ’n play/Travel crib,60 inch HDTV with Netflix,Fast wifi – 379 Mbps,Free driveway parking on premises – 1 space,Fast wifi – 160 Mbps,Washer – In building,Fast wifi – 149 Mbps,50 inch HDTV with standard cable,Free driveway parking on premises – 2 spaces,Fast wifi – 52 Mbps,40 inch HDTV with Fire TV,Roku,Fast wifi – 206 Mbps,Paid parking on premises,52 inch HDTV with Disney+,Netflix,Roku,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 131 Mbps,40 inch TV with standard cable,Netflix,DVD player,Paid washer,Paid dryer,Mabe refrigerator,Fast wifi – 263 Mbps,32 inch HDTV with standard cable,Fast wifi – 217 Mbps,50 inch TV,60 inch HDTV with standard cable,Standalone high chair - always at the listing,43 inch TV,Fast wifi – 218 Mbps,42 inch HDTV with standard cable,Pool - open 24 hours,rooftop,Fast wifi – 205 Mbps,Challenger refrigerator,Paid parking lot on premises – 1 space,Shared outdoor pool - available all year,open specific hours,Shared hot tub - available all year,open specific hours,Fast wifi – 475 Mbps,50 inch HDTV,Dryer – In unit,Free residential garage on premises – 1 space,43 inch TV with Netflix,49 inch TV with Netflix,Paid parking lot off premises,Sound system
11,2560,1255,0,1305,0,0,0,0,0,1212556363810614216,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,85,20,5,4.91,4.91 (11),10,https://www.airbnb.com/rooms/1212556363810614216?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,61,0.7176470588,12,12,24,0.2823529412,2 queen beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2555,1260,0,1295,0,0,0,0,0,916714566725816331,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,84,19,9,4.89,4.89 (105),12,https://www.airbnb.com/rooms/916714566725816331?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,72,0.8571428571,0,12,12,0.1428571429,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,,,,FALSE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2555,1350,0,1205,0,0,0,0,0,1272616489873699117,Cabin in Medellín,01/18/25 - 01/21/25,1,1,78,4.71,4.71 (7),30,https://www.airbnb.com/rooms/1272616489873699117?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,354,3,1,1,28,154,182,182,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2550,1200,0,1350,0,0,0,0,0,886828090560681912,Apartment in Medellín,01/18/25 - 01/21/25,102,31,13,5,5.0 (15),1,https://www.airbnb.com/rooms/886828090560681912?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,83,0.8137254902,5,14,19,0.1862745098,1 bed,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,,,,FALSE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2550,1310,0,1240,0,0,0,0,0,931913175531021021,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,71,9,2,4.78,4.78 (36),23,https://www.airbnb.com/rooms/931913175531021021?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,47,0.661971831,14,10,24,0.338028169,2 beds,,,TRUE,,,,,TRUE,,FALSE,,,TRUE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2540,1190,0,1350,0,0,0,0,0,1271306542604043924,Apartment in Belén,01/18/25 - 01/21/25,105,33,10,5,5.0 (4),1,https://www.airbnb.com/rooms/1271306542604043924?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,76,0.7238095238,14,15,29,0.2761904762,1 bed,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,FALSE,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2535,1185,0,1350,0,0,0,0,0,1261290493404388782,Condo in Laureles,01/18/25 - 01/21/25,106,34,8,5,5.0 (4),1,https://www.airbnb.com/rooms/1261290493404388782?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.641509434,25,13,38,0.358490566,2 beds,TRUE,,,,TRUE,,,,TRUE,FALSE,,,,,,FALSE,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2535,1235,0,1300,0,0,0,0,0,954818895412324333,Apartment in Laureles,01/18/25 - 01/21/25,92,24,5,4.9,4.9 (39),11,https://www.airbnb.com/rooms/954818895412324333?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,61,0.6630434783,20,11,31,0.3369565217,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,,,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2530,1180,0,1350,0,0,0,0,0,1250156773673067948,Apartment in Medellín,01/18/25 - 01/21/25,107,35,9,5,5.0 (10),1,https://www.airbnb.com/rooms/1250156773673067948?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,72,0.6728971963,22,13,35,0.3271028037,1 bed,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,,,FALSE,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2530,1285,0,1245,0,0,0,0,0,22937432,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,79,14,2,4.79,4.79 (127),22,https://www.airbnb.com/rooms/22937432?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,48,0.6075949367,20,11,31,0.3924050633,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,FALSE,,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2525,1175,0,1350,0,0,0,0,0,1080734644084993575,Apartment in Las Palmas,01/18/25 - 01/21/25,108,36,16,5,5.0 (20),1,https://www.airbnb.com/rooms/1080734644084993575?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,93,0.8611111111,0,15,15,0.1388888889,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,,,,FALSE,TRUE,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2525,1175,0,1350,0,0,0,0,0,1258228864009851629,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,108,36,16,5,5.0 (8),1,https://www.airbnb.com/rooms/1258228864009851629?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,93,0.8611111111,15,0,15,0.1388888889,,,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,,,,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2525,1205,0,1320,0,0,0,0,0,1095201252248306036,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,101,30,10,4.94,4.94 (16),7,https://www.airbnb.com/rooms/1095201252248306036?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,75,0.7425742574,12,14,26,0.2574257426,,TRUE,TRUE,TRUE,TRUE,,,,,,FALSE,,TRUE,,,,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
