rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Washer,Patio or balcony,Carbon monoxide alarm,Smoke alarm,Guest favorite,Hair dryer,Mabe refrigerator,Microwave,Smoking allowed,Courtyard view,Free street parking,Elevator,Exterior security cameras on property,Air conditioning,Superhost,TV with standard cable,Luggage dropoff allowed,Refrigerator,Shared hot tub - available all year,open specific hours,Shared sauna,Hot tub,50 inch HDTV with Netflix,Paid dryer – In building,Fast wifi – 321 Mbps,40 inch HDTV,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Long term stays allowed,Free dryer – In unit,Pool,Crib,Indoor fireplace,City skyline view,Valley view,Wifi – 33 Mbps,Free parking garage on premises – 1 space,55 inch HDTV with Netflix,Sauna,Mountain view,Fast wifi – 396 Mbps,HDTV with Netflix,Free residential garage on premises – 1 space,AC - split type ductless system,Fast wifi – 77 Mbps,Shared hot tub - available all year,Free carport on premises – 1 space,21 inch TV with Disney+,standard cable,Roku,Fast wifi – 567 Mbps,Paid washer – In building,Garden view,43 inch HDTV with standard cable,Fast wifi – 280 Mbps,HDTV with standard cable,Shared pool,Free washer – In building,Shared backyard – Not fully fenced,Fast wifi – 296 Mbps,HDTV with Disney+,Roku,Dryer,Free residential garage on premises,HDTV with premium cable,Netflix,Amazon Prime Video,Disney+,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,32 inch TV with standard cable,Paid street parking off premises,Backyard,Shared outdoor pool - open specific hours,rooftop,43 inch HDTV with Netflix,Private backyard – Fully fenced,43 inch HDTV with Netflix,standard cable,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,43 inch HDTV,32 inch HDTV with Netflix,standard cable,55 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,premium cable,standard cable,Children’s books and toys,Free driveway parking on premises,Private hot tub - available all year,open 24 hours,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,Free dryer – In building,32 inch HDTV with premium cable,TV with Netflix,MABE refrigerator,Fast wifi – 252 Mbps,Free carport on premises,Fast wifi – 95 Mbps,42 inch HDTV,Crib - available upon request,Fast wifi – 192 Mbps,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 83 Mbps,Park view,Fast wifi – 52 Mbps,Shared outdoor pool - available all year,open specific hours,heated,Washer – In building,Fast wifi – 94 Mbps,50 inch HDTV,Paid parking on premises,Children’s books and toys for ages 0-2 years old,2-5 years old,5-10 years old,and 10+ years old,55 inch HDTV with standard cable,Dryer – In unit
12,1068,245,0,345,0,4,4,0,470,600035572019770227,Apartment in Sabaneta,01/18/25 - 01/21/25,177,46,28,4.71,4.71 (55),26,https://www.airbnb.com/rooms/600035572019770227?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,45,3,135,0.7627118644,20,22,42,0.2372881356,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,FALSE,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1058,175,0,405,0,4,4,0,470,777739042064085953,Home in Itagüi,01/18/25 - 01/21/25,220,60,40,4.86,4.86 (99),14,https://www.airbnb.com/rooms/777739042064085953?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,61,3,183,0.8318181818,6,31,37,0.1681818182,2 beds,,TRUE,TRUE,TRUE,,TRUE,,,,FALSE,FALSE,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1038,225,0,335,0,4,4,0,470,53493808,Apartment in Sabaneta,01/18/25 - 01/21/25,187,50,30,4.65,4.65 (65),28,https://www.airbnb.com/rooms/53493808?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,48,3,144,0.7700534759,20,23,43,0.2299465241,,,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,FALSE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1028,225,0,325,0,4,4,0,470,888497270688838685,Apartment in Sabaneta,01/18/25 - 01/21/25,187,50,30,4.5,4.5 (14),30,https://www.airbnb.com/rooms/888497270688838685?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,48,3,144,0.7700534759,20,23,43,0.2299465241,,,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,FALSE,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1008,180,0,350,0,4,4,0,470,44156630,Apartment in Medellín,01/18/25 - 01/21/25,218,59,47,4.72,4.72 (403),25,https://www.airbnb.com/rooms/44156630?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,73,3,218,1,0,0,0,0,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1003,160,0,365,0,4,4,0,470,44395823,Apartment in Medellín,01/18/25 - 01/21/25,253,63,50,4.77,4.77 (367),22,https://www.airbnb.com/rooms/44395823?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,84,3,253,1,0,0,0,0,,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,983,140,0,365,0,4,4,0,470,883265857771905564,Home in Envigado,01/18/25 - 01/21/25,284,67,46,4.77,4.77 (39),22,https://www.airbnb.com/rooms/883265857771905564?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,71,3,213,0.75,36,35,71,0.25,3 beds,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,FALSE,FALSE,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,908,470,0,430,0,4,4,0,0,1111852955623163926,Apartment in La Estrella,01/18/25 - 01/21/25,52,1,3,4.91,4.91 (11),9,https://www.airbnb.com/rooms/1111852955623163926?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,15,3,45,0.8653846154,0,7,7,0.1346153846,,,TRUE,,,,TRUE,TRUE,,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,905,460,0,435,0,4,4,2,0,1012494277776847329,Apartment in Medellín,01/18/25 - 01/21/25,58,3,1,4.92,4.92 (37),8,https://www.airbnb.com/rooms/1012494277776847329?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,13,3,38,0.6551724138,12,8,20,0.3448275862,,TRUE,,TRUE,TRUE,,,TRUE,,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,900,420,0,470,0,4,4,2,0,828835792535857158,Apartment in La Estrella,01/18/25 - 01/21/25,90,11,10,5,5.0 (14),1,https://www.airbnb.com/rooms/828835792535857158?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.7555555556,9,13,22,0.2444444444,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,885,455,0,420,0,4,4,2,0,1091493677888405271,Apartment in Itagüi,01/18/25 - 01/21/25,64,4,5,4.89,4.89 (19),11,https://www.airbnb.com/rooms/1091493677888405271?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,55,0.859375,0,9,9,0.140625,,TRUE,TRUE,TRUE,,,TRUE,,,,FALSE,FALSE,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,870,390,0,470,0,4,4,2,0,1269126708884957383,Apartment in Sabaneta,01/18/25 - 01/21/25,104,17,7,5,5.0 (6),1,https://www.airbnb.com/rooms/1269126708884957383?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.5673076923,30,15,45,0.4326923077,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,870,410,0,450,0,4,4,2,0,53386313,Apartment in Itagüi,01/18/25 - 01/21/25,92,13,13,4.96,4.96 (48),5,https://www.airbnb.com/rooms/53386313?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,79,0.8586956522,0,13,13,0.1413043478,,TRUE,TRUE,TRUE,TRUE,,,,,,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,870,425,0,435,0,4,4,2,0,1075633672647192884,Apartment in Itagüi,01/18/25 - 01/21/25,85,10,7,4.92,4.92 (13),8,https://www.airbnb.com/rooms/1075633672647192884?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,61,0.7176470588,12,12,24,0.2823529412,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,FALSE,,TRUE,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,860,425,0,425,0,4,4,2,0,855266872811779694,Apartment in Envigado,01/18/25 - 01/21/25,85,10,9,4.9,4.9 (62),10,https://www.airbnb.com/rooms/855266872811779694?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,22,3,66,0.7764705882,7,12,19,0.2235294118,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,,TRUE,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,855,375,0,470,0,4,4,2,0,1037124464191438549,Loft in Itagüi,01/18/25 - 01/21/25,113,20,16,5,5.0 (16),1,https://www.airbnb.com/rooms/1037124464191438549?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,97,0.8584070796,0,16,16,0.1415929204,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,FALSE,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,855,435,0,410,0,4,4,2,0,1139253196673099421,Apartment in Envigado,01/18/25 - 01/21/25,79,8,6,4.87,4.87 (54),13,https://www.airbnb.com/rooms/1139253196673099421?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,56,0.7088607595,12,11,23,0.2911392405,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,FALSE,FALSE,TRUE,,,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,850,445,0,395,0,4,4,2,0,51329719,Apartment in Sabaneta,01/18/25 - 01/21/25,73,6,5,4.84,4.84 (122),16,https://www.airbnb.com/rooms/51329719?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,55,0.7534246575,8,10,18,0.2465753425,2 beds,TRUE,TRUE,TRUE,TRUE,,,,,,FALSE,FALSE,TRUE,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,838,450,0,380,0,4,4,0,0,984954368378591737,Apartment in Envigado,01/18/25 - 01/21/25,71,5,11,4.81,4.81 (52),19,https://www.airbnb.com/rooms/984954368378591737?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,71,1,0,0,0,0,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,FALSE,FALSE,,TRUE,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,835,380,0,445,0,4,4,2,0,49179644,Apartment in Itagüi,01/18/25 - 01/21/25,107,19,15,4.95,4.95 (77),6,https://www.airbnb.com/rooms/49179644?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.8037383178,21,0,21,0.1962616822,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,835,400,0,425,0,4,4,2,0,40156616,Loft in Itagüi,01/18/25 - 01/21/25,96,15,10,4.9,4.9 (93),10,https://www.airbnb.com/rooms/40156616?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.7083333333,16,12,28,0.2916666667,1 queen bed,TRUE,TRUE,,TRUE,,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
