rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Fast wifi – 321 Mbps,Dedicated workspace,40 inch HDTV,Elevator,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Microwave,Long term stays allowed,Guest favorite,Wifi,TV,Washer,Dryer,Air conditioning,Patio or balcony,Luggage dropoff allowed,Exterior security cameras on property,Free parking on premises,Shared outdoor pool - available all year,open specific hours,Shared sauna,Washer – In unit,Superhost,Paid parking on premises,Shared hot tub - open specific hours,Carbon monoxide alarm,Smoke alarm,City skyline view,Fast wifi – 266 Mbps,Free parking garage on premises,70 inch HDTV with Amazon Prime Video,Netflix,premium cable,Free dryer – In unit,Mountain view,Fast wifi – 202 Mbps,Shared outdoor pool - available all year,open specific hours,lap pool,pool toys,Pets allowed,65 inch HDTV with Netflix,Pool,Hair dryer,Free street parking,Hot tub,50 inch HDTV with Netflix,Mabe refrigerator,Smoking allowed,Valley view,Shared hot tub,Fast wifi – 120 Mbps,Free residential garage on premises – 1 space,Park view,Fast wifi – 187 Mbps,55 inch HDTV with standard cable,Netflix,Amazon Prime Video,Refrigerator,Shared outdoor pool - open specific hours,infinity,55 inch HDTV with Netflix,premium cable,Free dryer,Shared pool,Crib,Shared hot tub - available all year,open specific hours,TV with Roku,Netflix,Shared outdoor pool - open specific hours,Free carport on premises,Sauna,HDTV with standard cable,40 inch HDTV with standard cable,Free carport on premises – 1 space,Shared outdoor pool - available all year,open specific hours,rooftop,HDTV,Fast wifi – 495 Mbps,Paid washer – In building,Paid dryer – In building,HDTV with Netflix,55 inch HDTV,Fast wifi – 77 Mbps,Outdoor pool - open specific hours,TV with standard cable,55 inch HDTV with Netflix,Shared outdoor pool - available all year,open specific hours,heated,Private hot tub - available all year,open 24 hours,HDTV with Fire TV,Garden view,43 inch HDTV with standard cable,Backyard,Fast wifi – 567 Mbps,Free parking on premises – 1 space,Shared outdoor pool - open specific hours,rooftop,Fast wifi – 280 Mbps,32 inch TV with Netflix,standard cable,Free washer – In building,HDTV with Netflix,standard cable,Fast wifi – 59 Mbps,39 inch HDTV,AC - split type ductless system,HDTV with Amazon Prime Video,Bathtub,High chair,60 inch HDTV,Courtyard view,70 inch HDTV with Netflix,premium cable,Roku,standard cable,Free driveway parking on premises – 1 space,Private hot tub,140 inch HDTV with HBO Max,Netflix,DVD player,Portable air conditioning,Shared outdoor pool - available all year,rooftop,60 inch HDTV with Netflix,standard cable,34 inch HDTV with standard cable,Marina view,Free parking garage on premises – 1 space,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,42 inch HDTV with Amazon Prime Video,Netflix,premium cable,standard cable,32 inch HDTV with premium cable,Paid street parking off premises,Paid parking lot off premises,HDTV with standard cable,Netflix,Amazon Prime Video,46 inch HDTV with standard cable,Private backyard,42 inch HDTV with standard cable,Shared pool - open specific hours,Fast wifi – 191 Mbps,Gym in building,Pack ’n play/Travel crib,Hot tub - open specific hours,60 inch HDTV with Netflix,Fast wifi – 317 Mbps,32 inch HDTV with Netflix,Amazon Prime Video,premium cable,Fast wifi – 420 Mbps,Shared hot tub - available seasonally,open specific hours,HDTV with Amazon Prime Video,Apple TV,Disney+,Netflix,42 inch HDTV with Netflix,Fast wifi – 563 Mbps,Fast wifi – 299 Mbps,Dryer – In unit,Fast wifi – 199 Mbps,55 inch TV,43 inch HDTV,Canal view,Shared pool - open specific hours,rooftop,50 inch TV with Roku,standard cable,Crib - available upon request,Shared patio or balcony,Fast wifi – 95 Mbps,42 inch HDTV,Fast wifi – 230 Mbps,32 inch TV with standard cable,premium cable,140 inch HDTV,Fast wifi – 327 Mbps,32 inch HDTV with standard cable,River view,Fast wifi – 318 Mbps,43 inch HDTV with standard cable,Roku,Children’s books and toys,Free residential garage on premises – 2 spaces,127 inch HDTV,32 inch TV with standard cable,Fast wifi – 336 Mbps,Baby bath,Shared outdoor pool - available all year,open specific hours,heated,rooftop,Shared hot tub - available all year,50 inch HDTV with Amazon Prime Video,Netflix,60 inch HDTV with Amazon Prime Video,50 inch HDTV with Chromecast,Disney+,Fast wifi – 231 Mbps,Shared outdoor pool - available all year,open specific hours,heated,infinity,Gym,Free dryer – In building,Shared pool - available all year,Washer – In building,50 inch HDTV with Netflix,premium cable,43 inch HDTV with Netflix,Free washer,Fast wifi – 644 Mbps,40 inch TV,Outdoor pool - available all year,open specific hours,Shared gym in building
11,3716,0,1285,1345,0,4,1080,1199314515263543862,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,13,5,5.0 (16),1,https://www.airbnb.com/rooms/1199314515263543862?,27,0,0,NaN,0,0,0,NaN,1 bed,TRUE,TRUE,,TRUE,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3716,0,1285,1345,0,4,1080,1198709488154080626,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,13,5,5.0 (23),1,https://www.airbnb.com/rooms/1198709488154080626?,27,0,0,NaN,0,0,0,NaN,1 bed,TRUE,TRUE,,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,FALSE,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3714,0,1285,1345,0,4,1080,1257284239456824286,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,13,5,5.0 (4),1,https://www.airbnb.com/rooms/1257284239456824286?,27,0,0,NaN,0,0,0,NaN,,,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3711,0,1280,1345,0,4,1080,1268878013806965749,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,14,5,5.0 (5),1,https://www.airbnb.com/rooms/1268878013806965749?,28,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,FALSE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3711,0,1295,1330,0,4,1080,1145953554384434307,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,11,4.96,4.96 (24),4,https://www.airbnb.com/rooms/1145953554384434307?,25,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3711,0,1330,1295,0,4,1080,839347862159799739,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,4,4.89,4.89 (47),11,https://www.airbnb.com/rooms/839347862159799739?,16,0,0,NaN,0,0,0,NaN,1 double bed,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3706,0,1290,1330,0,4,1080,49214163,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,12,4.96,4.96 (49),4,https://www.airbnb.com/rooms/49214163?,26,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,TRUE,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3701,0,1270,1345,0,4,1080,1273855851439916350,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,16,5,5.0 (7),1,https://www.airbnb.com/rooms/1273855851439916350?,30,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,TRUE,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3701,0,1295,1320,0,4,1080,873157555814362592,Apartment in Cañaveralejo,01/18/25 - 01/21/25,0,270,11,4.94,4.94 (17),6,https://www.airbnb.com/rooms/873157555814362592?,25,0,0,NaN,0,0,0,NaN,2 beds,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,FALSE,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3701,0,1305,1310,0,4,1080,51394259,Apartment in Envigado,01/18/25 - 01/21/25,0,270,9,4.92,4.92 (168),8,https://www.airbnb.com/rooms/51394259?,23,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3699,0,1270,1345,0,4,1080,1157936418291657787,Cabin in María Auxiliadora,01/18/25 - 01/21/25,0,270,16,5,5.0 (4),1,https://www.airbnb.com/rooms/1157936418291657787?,30,0,0,NaN,0,0,0,NaN,,,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3696,0,1315,1295,0,4,1080,51049348,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,7,4.89,4.89 (99),11,https://www.airbnb.com/rooms/51049348?,21,0,0,NaN,0,0,0,NaN,2 beds,TRUE,TRUE,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3696,0,1325,1285,0,4,1080,1095925275958637520,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,5,4.87,4.87 (15),13,https://www.airbnb.com/rooms/1095925275958637520?,18,0,0,NaN,0,0,0,NaN,2 beds,TRUE,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
