rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,,Kitchen,Wifi,Dedicated workspace,Hot tub,Pets allowed,TV with Fire TV,Elevator,Washer,Carbon monoxide alarm,Smoke alarm,City skyline view,Mountain view,75 inch HDTV with Amazon Prime Video,HBO Max,Hulu,Netflix,Free washer – In unit,Free dryer – In unit,Exterior security cameras on property,Free parking on premises,TV,Fast wifi – 396 Mbps,Free parking garage on premises – 1 space,Shared sauna,Free dryer,Pool,Air conditioning,Hair dryer,Luggage dropoff allowed,Fast wifi – 94 Mbps,Lock on bedroom door,Dryer,Patio or balcony,Free parking garage on premises,Private hot tub - available all year,open 24 hours,TV with standard cable,Fast wifi – 321 Mbps,40 inch HDTV,Private patio or balcony,Samsung refrigerator,Microwave,Long term stays allowed,Refrigerator,Free street parking,40 inch HDTV with standard cable,Fast wifi – 407 Mbps,Shared outdoor pool - available all year,open specific hours,heated,infinity,rooftop,Shared hot tub - available all year,open specific hours,Backyard,Fast wifi – 375 Mbps,Bathtub,Shared backyard – Fully fenced,Valley view,Fast wifi – 86 Mbps,Shared outdoor pool - available all year,open specific hours,heated,Shared hot tub,Fast wifi – 198 Mbps,Free parking garage on premises – 2 spaces,Shared outdoor pool - available all year,heated,infinity,HDTV with Amazon Prime Video,Apple TV,Disney+,Netflix,Smoking allowed,Fast wifi – 93 Mbps,Private hot tub - available all year,Fast wifi – 91 Mbps,Garden view,Fast wifi – 138 Mbps,HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,Fast wifi – 202 Mbps,52 inch HDTV with standard cable,premium cable,Sauna,55 inch HDTV,Paid washer – In building,Paid dryer – In building,Fast wifi – 166 Mbps,Free carport on premises – 1 space,49 inch HDTV with Netflix,AC - split type ductless system,Park view,Fast wifi – 61 Mbps,43 inch HDTV with Netflix,Free dryer – In building,Fast wifi – 211 Mbps,65 inch HDTV with standard cable,Fast wifi – 328 Mbps,HDTV with Roku,Private backyard,Fire pit,Fast wifi – 273 Mbps,50 inch HDTV with premium cable,High chair,Free driveway parking on premises,42 inch TV,Fast wifi – 530 Mbps,EV charger,55 inch HDTV with Netflix,standard cable,Shared outdoor pool - available all year,open specific hours,heated,infinity,lap pool,rooftop,60 inch HDTV with standard cable,Shared outdoor pool - available all year,open specific hours,HDTV with Netflix,Shared pool,42 inch HDTV with standard cable,Wifi – 44 Mbps,32 inch HDTV with premium cable,Private hot tub,55 inch HDTV with Chromecast,Free washer,55 inch HDTV with Netflix,Fast wifi – 576 Mbps,Free parking on premises – 1 space,Central air conditioning,60 inch HDTV with Netflix,Amazon Prime Video,HDTV with Disney+,Netflix,Shared backyard,HDTV,Courtyard view,HDTV with standard cable,Free driveway parking on premises – 1 space,Fast wifi – 510 Mbps,Free washer – In building,Fast wifi – 139 Mbps,HDTV with Netflix,premium cable,43 inch HDTV with Apple TV,Disney+,Netflix,HBO Max,50 inch HDTV,Free residential garage on premises – 1 space,Outdoor pool - available all year,open specific hours,Shared indoor pool - available all year,open specific hours,rooftop,60 inch HDTV with Netflix,Portable air conditioning,Fast wifi – 313 Mbps,Washer – In unit,Fast wifi – 327 Mbps,50 inch HDTV with Amazon Prime Video,HBO Max,Netflix,premium cable,140 inch HDTV with HBO Max,Netflix,DVD player,Private sauna,45 inch TV with Netflix,Fast wifi – 60 Mbps,Fast wifi – 318 Mbps,60 inch HDTV with Apple TV,Amazon Prime Video,Disney+,Netflix,standard cable,TV with standard cable,Netflix,Free residential garage on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,olympic-sized,43 inch HDTV with standard cable,Shared patio or balcony,Fast wifi – 69 Mbps,43 inch HDTV with HBO Max,premium cable,42 inch HDTV with Netflix,58 inch HDTV,50 inch HDTV with standard cable,Fast wifi – 317 Mbps,Fast wifi – 506 Mbps,Shared outdoor pool - available all year,open specific hours,lap pool,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 258 Mbps,Free residential garage on premises,Fast wifi – 503 Mbps,Fast wifi – 165 Mbps,55 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,premium cable,standard cable,46 inch HDTV with Fire TV,Netflix,Shared outdoor pool - available all year,open specific hours,heated,infinity,52 inch HDTV with Roku,Netflix,Apple TV,Disney+,Amazon Prime Video,HBO Max,Shared pool - available all year,open specific hours,43 inch HDTV,Private indoor pool - available all year,open 24 hours,infinity,pool toys,Free carport on premises – 2 spaces,HDTV with Netflix,Amazon Prime Video,Disney+,Beach access – Beachfront,Washer – In building,Dryer – In building,Fast wifi – 309 Mbps,43 inch HDTV with standard cable,Netflix,55 inch HDTV with standard cable,Shared outdoor pool - available all year,open specific hours,heated,olympic-sized,43 inch TV with Disney+,Netflix,HDTV with Roku,standard cable,60 inch HDTV,50 inch TV,Fast wifi – 295 Mbps,Fast wifi – 143 Mbps,32 inch HDTV,Shared pool - open specific hours,58 inch HDTV with premium cable,32 inch HDTV with standard cable,Wifi – 9 Mbps,Private hot tub - available all year,open specific hours,Shared backyard – Not fully fenced,Breakfast,Private indoor pool - available all year,heated,43 inch HDTV with Netflix,standard cable,Private outdoor pool - available all year,open specific hours,lap pool,42 inch HDTV with Chromecast,Disney+,Netflix,Children’s books and toys,Pack ’n play/Travel crib,Haceb refrigerator,Paid parking on premises,Indoor fireplace
11,4479,1200,1150,1165,0,undefined,964,47980542,Apartment in Medellín,01/18/25 - 01/21/25,0,1,11,4.92,4.92 (132),8,https://www.airbnb.com/rooms/47980542,23,0,0,NaN,0,0,0,NaN,,11,,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,FALSE,,,,,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4479,1200,1150,1165,0,undefined,964,51394259,Apartment in Envigado,01/18/25 - 01/21/25,0,1,11,4.92,4.92 (168),8,https://www.airbnb.com/rooms/51394259,23,0,0,NaN,0,0,0,NaN,,12,,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4479,1200,1180,1135,0,undefined,964,1180472521404580510,Room in Medellín,01/18/25 - 01/21/25,0,1,5,4.9,4.9 (30),14,https://www.airbnb.com/rooms/1180472521404580510,17,0,0,NaN,0,0,0,NaN,,13,,TRUE,TRUE,,,,,,,FALSE,,,,,,,TRUE,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4474,1200,1110,1200,0,undefined,964,1010383342834348075,Apartment in Medellín,01/18/25 - 01/21/25,0,1,19,5,5.0 (14),1,https://www.airbnb.com/rooms/1010383342834348075,33,0,0,NaN,0,0,0,NaN,,14,,TRUE,TRUE,TRUE,,,,TRUE,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4474,1200,1125,1185,0,undefined,964,880619932936302586,Apartment in Medellín,01/18/25 - 01/21/25,0,1,16,4.96,4.96 (24),4,https://www.airbnb.com/rooms/880619932936302586,30,0,0,NaN,0,0,0,NaN,2 beds,15,,TRUE,TRUE,TRUE,,,,TRUE,,FALSE,,,,,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4469,1200,1140,1165,0,undefined,964,17666304,Condo in Medellín,01/18/25 - 01/21/25,0,1,13,4.92,4.92 (157),8,https://www.airbnb.com/rooms/17666304,25,0,0,NaN,0,0,0,NaN,,16,,TRUE,TRUE,TRUE,,,,TRUE,,FALSE,FALSE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4459,1200,1095,1200,0,undefined,964,1141171209844029961,Apartment in Sabaneta,01/18/25 - 01/21/25,0,1,22,5,5.0 (17),1,https://www.airbnb.com/rooms/1141171209844029961,36,0,0,NaN,0,0,0,NaN,,17,,TRUE,,TRUE,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4459,1200,1115,1180,0,undefined,964,1078555209451476085,Apartment in Medellín,01/18/25 - 01/21/25,0,1,18,4.95,4.95 (19),5,https://www.airbnb.com/rooms/1078555209451476085,32,0,0,NaN,0,0,0,NaN,1 double bed,18,,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4444,1200,1080,1200,0,undefined,964,1040068201889181436,Apartment in Medellín,01/18/25 - 01/21/25,0,1,25,5,5.0 (20),1,https://www.airbnb.com/rooms/1040068201889181436,39,0,0,NaN,0,0,0,NaN,,19,,TRUE,,TRUE,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4439,1200,1110,1165,0,undefined,964,607751962212834171,Apartment in Medellín,01/18/25 - 01/21/25,0,1,19,4.92,4.92 (49),8,https://www.airbnb.com/rooms/607751962212834171,33,0,0,NaN,0,0,0,NaN,,20,,TRUE,TRUE,,,,,TRUE,TRUE,FALSE,FALSE,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4434,1200,1100,1170,0,undefined,964,1121440205261618500,Apartment in Medellín,01/18/25 - 01/21/25,0,1,21,4.93,4.93 (40),7,https://www.airbnb.com/rooms/1121440205261618500,35,0,0,NaN,0,0,0,NaN,,21,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,TRUE,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4434,1200,1135,1135,0,undefined,964,631825529877392556,Guest suite in Medellín,01/18/25 - 01/21/25,0,1,14,4.9,4.9 (42),14,https://www.airbnb.com/rooms/631825529877392556,26,0,0,NaN,0,0,0,NaN,2 beds,22,,TRUE,TRUE,TRUE,,,,,,FALSE,FALSE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4429,1200,1100,1165,0,undefined,964,1277417941330516364,Loft in Medellín,01/18/25 - 01/21/25,0,1,21,4.92,4.92 (13),8,https://www.airbnb.com/rooms/1277417941330516364,35,0,0,NaN,0,0,0,NaN,,23,,,TRUE,TRUE,,TRUE,,TRUE,TRUE,FALSE,FALSE,,,,,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4414,1200,1115,1135,0,undefined,964,779826398509793474,Apartment in Medellín,01/18/25 - 01/21/25,0,1,18,4.9,4.9 (79),14,https://www.airbnb.com/rooms/779826398509793474,32,0,0,NaN,0,0,0,NaN,,24,,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4414,1200,1145,1105,0,undefined,964,53458290,Room in Medellín,01/18/25 - 01/21/25,0,1,12,4.87,4.87 (67),20,https://www.airbnb.com/rooms/53458290,24,0,0,NaN,0,0,0,NaN,,25,,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,FALSE,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4409,1200,1060,1185,0,undefined,964,10450836,Apartment in Medellín,01/18/25 - 01/21/25,0,1,29,4.96,4.96 (25),4,https://www.airbnb.com/rooms/10450836,43,0,0,NaN,0,0,0,NaN,,26,,TRUE,TRUE,,,TRUE,,TRUE,,FALSE,FALSE,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4409,1200,1070,1175,0,undefined,964,1109029629868371710,Home in Rionegro,01/18/25 - 01/21/25,0,1,27,4.94,4.94 (113),6,https://www.airbnb.com/rooms/1109029629868371710,41,0,0,NaN,0,0,0,NaN,2 beds,27,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4404,1200,1045,1195,0,undefined,964,858875375422966967,Apartment in Medellín,01/18/25 - 01/21/25,0,1,32,4.98,4.98 (46),2,https://www.airbnb.com/rooms/858875375422966967,46,0,0,NaN,0,0,0,NaN,1 bed,28,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,FALSE,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4404,1200,1055,1185,0,undefined,964,1267570302224081748,Loft in Medellín,01/18/25 - 01/21/25,0,1,30,4.96,4.96 (24),4,https://www.airbnb.com/rooms/1267570302224081748,44,0,0,NaN,0,0,0,NaN,1 queen bed,29,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,FALSE,FALSE,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4404,1200,1100,1140,0,undefined,964,840821888878023812,Condo in Medellín,01/18/25 - 01/21/25,0,1,21,4.91,4.91 (79),13,https://www.airbnb.com/rooms/840821888878023812,35,0,0,NaN,0,0,0,NaN,2 beds,30,,TRUE,,TRUE,,,,,,FALSE,,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4394,1200,1085,1145,0,undefined,964,769115762122969159,Apartment in Sabaneta,01/18/25 - 01/21/25,0,1,24,4.92,4.92 (213),12,https://www.airbnb.com/rooms/769115762122969159,38,0,0,NaN,0,0,0,NaN,,31,,TRUE,TRUE,TRUE,,,,,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4384,1200,1020,1200,0,undefined,964,1194577127921990957,Apartment in Medellín,01/18/25 - 01/21/25,0,1,37,5,5.0 (4),1,https://www.airbnb.com/rooms/1194577127921990957,51,0,0,NaN,0,0,0,NaN,4 beds,32,,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,FALSE,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4384,1200,1135,1085,0,undefined,964,1259064265476045949,Loft in Medellín,01/18/25 - 01/21/25,0,1,14,4.81,4.81 (16),24,https://www.airbnb.com/rooms/1259064265476045949,26,0,0,NaN,0,0,0,NaN,,33,,TRUE,TRUE,TRUE,,TRUE,,,TRUE,FALSE,FALSE,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4374,1200,1010,1200,0,undefined,964,1293124135100101322,Apartment in Medellín,01/18/25 - 01/21/25,0,1,39,5,5.0 (5),1,https://www.airbnb.com/rooms/1293124135100101322,54,0,0,NaN,0,0,0,NaN,,34,,TRUE,,TRUE,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4374,1200,1045,1165,0,undefined,964,1107204821208828271,Condo in Medellín,01/18/25 - 01/21/25,0,1,32,4.92,4.92 (24),8,https://www.airbnb.com/rooms/1107204821208828271,46,0,0,NaN,0,0,0,NaN,,35,,TRUE,,,,TRUE,,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
