,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Free street parking,Pets allowed,40 inch HDTV,Washer,SAMSUNG refrigerator,Microwave,Carbon monoxide alarm,Smoke alarm,Guest favorite,Refrigerator,Dedicated workspace,Free parking on premises,65 inch HDTV with HBO Max,Netflix,standard cable,Patio or balcony,Superhost,TV,Private patio or balcony,Exterior security cameras on property,TV with Roku,Private backyard,Luggage dropoff allowed,City skyline view,32 inch HDTV with premium cable,Free washer – In unit,Hair dryer,Long term stays allowed,Backyard,Mountain view,Valley view,Outdoor pool - available all year,open specific hours,Fast wifi – 522 Mbps,43 inch HDTV with Netflix,premium cable,Smoking allowed,Paid parking on premises,Hot tub,Air conditioning,Fire pit,Free parking garage on premises – 1 space,Free residential garage on premises – 1 space,Pool,Shared hot tub - available all year,open specific hours,Shared sauna,Elevator,Paid washer – In building,Paid dryer – In building,Fast wifi – 192 Mbps,TV with standard cable,Wifi – 30 Mbps,HDTV with Netflix,standard cable,EV charger,Fast wifi – 321 Mbps,Samsung refrigerator,Garden view,Shared pool,Bathtub,Dryer,Free driveway parking on premises – 2 spaces,Shared outdoor pool - available all year,open 24 hours,Private hot tub - available all year,open 24 hours,River view,Fast wifi – 220 Mbps,Courtyard view,Free driveway parking on premises,43 inch HDTV with Netflix,Roku,HDTV with Netflix,Free dryer – In unit,Shared patio or balcony,Haceb refrigerator,Fast wifi – 200 Mbps,HDTV with standard cable,Shared outdoor pool - available all year,open specific hours,Mabe refrigerator,55 inch HDTV with Netflix,50 inch HDTV,Park view,Fast wifi – 510 Mbps,Free washer – In building,Shared hot tub,Free dryer – In building,Central air conditioning,Private backyard – Fully fenced,Fast wifi – 363 Mbps,43 inch HDTV with Netflix,standard cable,Paid washer,Fast wifi – 463 Mbps,43 inch HDTV with HBO Max,Netflix,standard cable,Private backyard – Not fully fenced,Free carport on premises,HDTV with standard cable,Netflix,Lake view,Private hot tub,TV with Fire TV,Washer – In unit,High chair,43 inch HDTV,AC - split type ductless system,30 inch TV with Roku,Netflix,Ae refrigerator,Wifi – 5 Mbps,Fast wifi – 60 Mbps,Free residential garage on premises,40 inch HDTV with Chromecast,standard cable,Fast wifi – 175 Mbps,32 inch HDTV with standard cable,Fast wifi – 182 Mbps,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Shared outdoor pool - available all year,open specific hours,lap pool,55 inch HDTV with Chromecast,Disney+,Netflix,50 inch HDTV with standard cable,55 inch HDTV,Portable air conditioning,Free parking garage on premises,Shared outdoor pool - available all year,open specific hours,rooftop,HDTV with Netflix,Disney+,Fast wifi – 218 Mbps,49 inch HDTV with standard cable,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,40 inch HDTV with Netflix,standard cable,HDTV with Amazon Prime Video,Disney+,Netflix,40 inch HDTV with HBO Max,Netflix,Fast wifi – 264 Mbps,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,HDTV with Netflix,Amazon Prime Video,standard cable,Shared pool - available all year,Fast wifi – 252 Mbps,Fast wifi – 315 Mbps,Shared indoor pool - available all year,open specific hours,rooftop,32 inch HDTV with Netflix,standard cable,Free driveway parking on premises – 1 space,Shared outdoor pool - available all year,open specific hours,heated,32 inch TV with standard cable,TV with Netflix,Free washer,43 inch HDTV with standard cable,Fast wifi – 81 Mbps,HDTV with Amazon Prime Video,Netflix,Fast wifi – 318 Mbps,HDTV with standard cable,Roku,Netflix,premium cable,32 inch HDTV with Netflix,premium cable,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 306 Mbps,Free carport on premises – 1 space,32 inch HDTV with Roku,43 inch HDTV with Netflix,standard cable,Disney+,HBO Max,Amazon Prime Video,Private pool - available all year,open specific hours,65 inch HDTV with Netflix,Pool view,Wifi – 9 Mbps,Private hot tub - available all year,open specific hours,Shared backyard – Not fully fenced,Breakfast,Private indoor pool - available all year,open specific hours,heated,lap pool,Fast wifi – 106 Mbps,Canal view,90 inch HDTV with Netflix,standard cable,Dryer – In unit,43 inch TV with Netflix,LG refrigerator,Paid parking lot on premises – 1 space,Crib,Shared pool - open specific hours,Waterfront,Shared outdoor pool - open specific hours,infinity,lap pool,pool toys
,11,1950,965,0,985,0,0,0,0,0,902967545483115784,,,,Tiny home in Copacabana,01/18/25 - 01/21/25,69,12,6,4.93,4.93 (15),8,https://www.airbnb.com/rooms/902967545483115784?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.8550724638,0,10,10,0.1449275362,,TRUE,TRUE,TRUE,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,1945,925,0,1020,0,0,0,0,0,1026689513021343791,,,,Apartment in Bello,01/18/25 - 01/21/25,81,20,10,5,5.0 (9),1,https://www.airbnb.com/rooms/1026689513021343791?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,76,0.9382716049,5,0,5,0.06172839506,,TRUE,TRUE,TRUE,,,,TRUE,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1940,1000,0,940,0,0,0,0,0,576091346383613048,,,,Condo in Bello,01/18/25 - 01/21/25,55,5,3,4.84,4.84 (44),17,https://www.airbnb.com/rooms/576091346383613048?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,48,0.8727272727,0,7,7,0.1272727273,,TRUE,TRUE,TRUE,,,,,,,FALSE,FALSE,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,1935,995,0,940,0,0,0,0,0,24173124,,,,Apartment in Bello,01/18/25 - 01/21/25,56,6,3,4.84,4.84 (69),17,https://www.airbnb.com/rooms/24173124?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,48,0.8571428571,0,8,8,0.1428571429,,,TRUE,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,1925,930,0,995,0,0,0,0,0,1185626841123694495,,,,Loft in Medellín,01/18/25 - 01/21/25,80,19,7,4.95,4.95 (22),6,https://www.airbnb.com/rooms/1185626841123694495?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,62,0.775,7,11,18,0.225,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,FALSE,TRUE,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,1925,930,0,995,0,0,0,0,0,894979116012452205,,,,Home in Medellín,01/18/25 - 01/21/25,80,19,5,4.95,4.95 (58),6,https://www.airbnb.com/rooms/894979116012452205?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,72,0.9,11,11,22,0.275,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,1925,1020,0,905,0,0,0,0,0,1274900031625369251,,,,Apartment in Bello,01/18/25 - 01/21/25,44,1,1,4.75,4.75 (4),24,https://www.airbnb.com/rooms/1274900031625369251?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,13,3,38,0.8636363636,0,6,6,0.1363636364,,,TRUE,TRUE,,,,,,,FALSE,FALSE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,1920,930,0,990,0,0,0,0,0,767311191949937806,,,,Loft in Bello,01/18/25 - 01/21/25,80,19,8,4.94,4.94 (17),7,https://www.airbnb.com/rooms/767311191949937806?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,69,0.8625,0,11,11,0.1375,,TRUE,TRUE,TRUE,,,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,1915,995,0,920,0,0,0,0,0,27467115,,,,Apartment in Bello,01/18/25 - 01/21/25,56,6,3,4.79,4.79 (75),21,https://www.airbnb.com/rooms/27467115?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,48,0.8571428571,0,8,8,0.1428571429,,,TRUE,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,1905,885,0,1020,0,0,0,0,0,1266730164420145853,,,,Apartment in Bello,01/18/25 - 01/21/25,90,28,4,5,5.0 (3),1,https://www.airbnb.com/rooms/1266730164420145853?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,60,0.6666666667,25,11,36,0.4,,,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,,,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,1905,930,0,975,0,0,0,0,0,852424631799360334,,,,Apartment in Copacabana,01/18/25 - 01/21/25,80,19,4,4.91,4.91 (11),10,https://www.airbnb.com/rooms/852424631799360334?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,53,0.6625,16,11,27,0.3375,3 beds,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,,TRUE,,,TRUE,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,1905,980,0,925,0,0,0,0,0,894914802672874329,,,,Apartment in Bello,01/18/25 - 01/21/25,65,9,5,4.8,4.8 (5),20,https://www.airbnb.com/rooms/894914802672874329?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,57,0.8769230769,0,8,8,0.1230769231,,,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
