,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Kitchen,Wifi,Dedicated workspace,Pets allowed,TV,Portable air conditioning,Luggage dropoff allowed,Microwave,Exterior security cameras on property,Carbon monoxide alarm,Superhost,guest_favorite,Free street parking,Elevator,Long term stays allowed,Smoke alarm,Guest favorite,Washer,Air conditioning,Haceb refrigerator,Fast wifi – 94 Mbps,Hair dryer,Free parking on premises,Backyard,Crib,Refrigerator,Private patio or balcony,City skyline view,Fast wifi – 599 Mbps,Smoking allowed,Hot tub,Paid washer – In building,Paid dryer – In building,Dryer,Mountain view,Free washer – In unit,TV with standard cable,LG refrigerator,32 inch HDTV with Netflix,AC - split type ductless system,Garden view,Free carport on premises,56 inch HDTV with standard cable,Central air conditioning,Shared patio or balcony,Fast wifi – 240 Mbps,Shared indoor pool - available seasonally,open specific hours,Courtyard view,Wifi – 28 Mbps,32 inch HDTV,High chair,Fast wifi – 164 Mbps,Shared outdoor pool - available all year,open specific hours,rooftop,43 inch HDTV with Netflix,premium cable,HDTV,Free parking garage on premises – 1 space,40 inch HDTV,Fast wifi – 200 Mbps,HDTV with standard cable,Free dryer – In unit,Park view,Fast wifi – 510 Mbps,Free washer – In building,Fast wifi – 235 Mbps,55 inch HDTV,Fast wifi – 463 Mbps,43 inch HDTV with HBO Max,Netflix,standard cable,Private backyard – Fully fenced,Patio or balcony,Free driveway parking on premises – 3 spaces,HDTV with Netflix,Shared hot tub,Fast wifi – 185 Mbps,55 inch HDTV with Netflix,43 inch HDTV,Shared sauna,Fast wifi – 60 Mbps,32 inch TV,Shared backyard – Not fully fenced,Fast wifi – 231 Mbps,Free dryer – In building,42 inch HDTV with Netflix,50 inch HDTV with Netflix,standard cable,Private hot tub - available all year,open 24 hours,43 inch HDTV with Amazon Prime Video,Netflix,standard cable,Fast wifi – 140 Mbps,TV with Netflix,standard cable,Wifi – 35 Mbps,58 inch HDTV with Netflix,standard cable,Window AC unit,45 inch HDTV with Netflix,Amazon Prime Video,Chromecast,55 inch TV with Netflix,standard cable,Wifi – 31 Mbps,32 inch HDTV with premium cable,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 466 Mbps,Free residential garage on premises,Private backyard,Fast wifi – 105 Mbps,43 inch HDTV with Netflix,43 inch HDTV with Amazon Prime Video,Disney+,Netflix,Fast wifi – 187 Mbps,35 inch HDTV with premium cable,47 inch TV with standard cable,Free dryer,32 inch HDTV with Fire TV,standard cable,Bathtub,Shared hot tub - available all year,open specific hours,43 inch HDTV with Netflix,standard cable,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,25 inch TV,TV with Netflix,Fast wifi – 59 Mbps,HDTV with Amazon Prime Video,Disney+,Netflix,Free driveway parking on premises,HDTV with Chromecast,40 inch HDTV with Amazon Prime Video,Chromecast,Netflix,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,43 inch HDTV with standard cable,Pack ’n play/Travel crib,60 inch HDTV with Netflix,Fast wifi – 379 Mbps,Washer – In building,Free driveway parking on premises – 2 spaces,Fast wifi – 52 Mbps,40 inch HDTV with Fire TV,Roku,Fast wifi – 206 Mbps,Paid parking on premises,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 131 Mbps,40 inch TV with standard cable,Netflix,DVD player,Paid washer,Paid dryer,Mabe refrigerator,Fast wifi – 263 Mbps,32 inch HDTV with standard cable,Fast wifi – 217 Mbps,50 inch TV,60 inch HDTV with standard cable,Standalone high chair - always at the listing,43 inch TV,Fast wifi – 93 Mbps,Pool - open 24 hours,rooftop,Fast wifi – 205 Mbps,Challenger refrigerator,Paid parking lot on premises – 1 space,Fast wifi – 475 Mbps,Dryer – In unit,Free residential garage on premises – 1 space,43 inch TV with Netflix,49 inch TV with Netflix,Pool,Paid parking lot off premises,Sound system
,11,2160,1015,0,1145,0,0,0,0,0,980500948446121317,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,100,27,15,5,5.0 (7),1,https://www.airbnb.com/rooms/980500948446121317?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,91,0.91,9,0,9,0.09,1 bed,TRUE,TRUE,,,TRUE,,,TRUE,,FALSE,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,2160,1065,0,1095,0,0,0,0,0,916714566725816331,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,84,17,9,4.89,4.89 (105),11,https://www.airbnb.com/rooms/916714566725816331?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,72,0.8571428571,0,12,12,0.1428571429,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,,,,FALSE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,2155,1130,0,1025,0,0,0,0,0,36042885,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,66,4,5,4.75,4.75 (81),25,https://www.airbnb.com/rooms/36042885?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.8939393939,7,0,7,0.1060606061,1 double bed,,TRUE,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,2150,1110,0,1040,0,0,0,0,0,931913175531021021,,,,Apartment in Medellín,01/18/25 - 01/21/25,71,8,2,4.78,4.78 (36),22,https://www.airbnb.com/rooms/931913175531021021?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,47,0.661971831,14,10,24,0.338028169,2 beds,,,TRUE,,,,,TRUE,,FALSE,,,TRUE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,2145,1000,0,1145,0,0,0,0,0,1271306542604043924,,,,Apartment in Medellín,01/18/25 - 01/21/25,105,30,10,5,5.0 (4),1,https://www.airbnb.com/rooms/1271306542604043924?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,76,0.7238095238,14,15,29,0.2761904762,1 bed,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,FALSE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,2145,1045,0,1100,0,0,0,0,0,954818895412324333,,,,Apartment in Laureles,01/18/25 - 01/21/25,92,21,5,4.9,4.9 (39),10,https://www.airbnb.com/rooms/954818895412324333?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,61,0.6630434783,20,11,31,0.3369565217,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,,,FALSE,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,2140,995,0,1145,0,0,0,0,0,1261290493404388782,,,,Condo in Laureles,01/18/25 - 01/21/25,106,31,8,5,5.0 (4),1,https://www.airbnb.com/rooms/1261290493404388782?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.641509434,25,13,38,0.358490566,2 beds,TRUE,,,,TRUE,,,,TRUE,FALSE,,,,,,FALSE,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,2140,1020,0,1120,0,0,0,0,0,1095201252248306036,,,,Apartment in Medellín,01/18/25 - 01/21/25,99,26,10,4.94,4.94 (16),6,https://www.airbnb.com/rooms/1095201252248306036?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,74,0.7474747475,11,14,25,0.2525252525,,TRUE,TRUE,TRUE,TRUE,,,,,,FALSE,,TRUE,,,,FALSE,TRUE,,,,,TRUE,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,2135,990,0,1145,0,0,0,0,0,1250156773673067948,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,107,32,9,5,5.0 (10),1,https://www.airbnb.com/rooms/1250156773673067948?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,72,0.6728971963,22,13,35,0.3271028037,1 bed,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,,,FALSE,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,2135,1000,0,1135,0,0,0,0,0,946501758606863841,,,,Loft in Laureles-Estadio,01/18/25 - 01/21/25,105,30,11,4.97,4.97 (39),3,https://www.airbnb.com/rooms/946501758606863841?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,79,0.7523809524,11,15,26,0.2476190476,,TRUE,TRUE,TRUE,,TRUE,,,,,FALSE,,TRUE,,,,FALSE,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,2130,985,0,1145,0,0,0,0,0,1080734644084993575,,,,Apartment in Las Palmas,01/18/25 - 01/21/25,108,33,16,5,5.0 (20),1,https://www.airbnb.com/rooms/1080734644084993575?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,93,0.8611111111,0,15,15,0.1388888889,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,,,,FALSE,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,2130,985,0,1145,0,0,0,0,0,1258228864009851629,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,108,33,16,5,5.0 (8),1,https://www.airbnb.com/rooms/1258228864009851629?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,93,0.8611111111,15,0,15,0.1388888889,,,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,2130,1000,0,1130,0,0,0,0,0,1112551389838188429,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,105,30,15,4.96,4.96 (26),4,https://www.airbnb.com/rooms/1112551389838188429?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.8571428571,0,15,15,0.1428571429,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,2130,1015,0,1115,0,0,0,0,0,1037070843931176238,,,,Apartment in Laureles,01/18/25 - 01/21/25,100,27,8,4.93,4.93 (15),7,https://www.airbnb.com/rooms/1037070843931176238?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.68,18,14,32,0.32,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
