rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Washer,Backyard,Carbon monoxide alarm,Smoke alarm,Guest favorite,Superhost,Air conditioning,Exterior security cameras on property,Hair dryer,Refrigerator,Microwave,TV with standard cable,Luggage dropoff allowed,Elevator,Paid dryer – In building,Fast wifi – 321 Mbps,40 inch HDTV,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Long term stays allowed,Dryer,City skyline view,Fast wifi – 330 Mbps,72 inch HDTV with premium cable,Paid washer – In building,HDTV with Netflix,Free dryer – In unit,Garden view,Fast wifi – 151 Mbps,50 inch HDTV,Central air conditioning,Free parking garage on premises – 1 space,Fast wifi – 200 Mbps,HDTV with standard cable,Mountain view,Hot tub,55 inch HDTV with Netflix,Free street parking,Private hot tub,43 inch HDTV with Apple TV,Disney+,Netflix,HBO Max,Free washer – In building,Free dryer – In building,Courtyard view,Fast wifi – 342 Mbps,Free driveway parking on premises – 2 spaces,Paid washer,50 inch HDTV with Disney+,Netflix,Shared patio or balcony,Smoking allowed,43 inch HDTV,AC - split type ductless system,Shared sauna,55 inch HDTV,Fast wifi – 60 Mbps,Fast wifi – 306 Mbps,Free driveway parking on premises – 1 space,Free residential garage on premises,40 inch HDTV with Chromecast,standard cable,Shared outdoor pool - available all year,open specific hours,rooftop,50 inch HDTV with Netflix,standard cable,Shared backyard – Not fully fenced,TV with Netflix,Shared outdoor pool - available all year,open specific hours,lap pool,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 293 Mbps,Fast wifi – 503 Mbps,Patio or balcony,42 inch HDTV with premium cable,Bathtub,Shared hot tub - available all year,open specific hours,43 inch HDTV with standard cable,Netflix,Private hot tub - available all year,open 24 hours,43 inch HDTV with Netflix,standard cable,Free driveway parking on premises – 6 spaces,55 inch HDTV with Amazon Prime Video,Apple TV,Chromecast,Disney+,Netflix,Canal view,Free carport on premises,43 inch HDTV with Netflix,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,82 inch HDTV with Amazon Prime Video,Fire TV,Hulu,Netflix,DVD player,HDTV with Amazon Prime Video,Disney+,Netflix,High chair,65 inch HDTV with Netflix,premium cable,Fast wifi – 264 Mbps,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,MABE refrigerator,Fast wifi – 252 Mbps,Free residential garage on premises – 1 space,Washer – In building,Private hot tub - available all year,43 inch HDTV with Netflix,standard cable,Disney+,HBO Max,Amazon Prime Video,Fast wifi – 165 Mbps,Fast wifi – 274 Mbps,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 246 Mbps,50 inch HDTV with Fire TV,Netflix,43 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,standard cable,Free parking garage on premises,Shared outdoor pool,Shared hot tub,43 inch HDTV with standard cable,premium cable,Netflix,Pool,43 inch HDTV with Netflix,standard cable,premium cable,Fast wifi – 205 Mbps,Challenger refrigerator,Shared pool,Valley view,43 inch TV with Netflix,Fast wifi – 383 Mbps,42 inch HDTV with Netflix,standard cable,Dryer – In unit,LG refrigerator,Window AC unit,Paid parking garage off premises,Crib,Paid parking lot off premises
11,1410,650,0,760,0,0,0,0,0,1287970672680210638,Apartment in El Poblado,01/18/25 - 01/21/25,128,23,16,5,5.0 (4),1,https://www.airbnb.com/rooms/1287970672680210638?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,110,0.859375,18,0,18,0.140625,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,FALSE,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1410,670,0,740,0,0,0,0,0,1109735560679449413,Loft in Medellín,01/18/25 - 01/21/25,119,19,19,4.95,4.95 (56),5,https://www.airbnb.com/rooms/1109735560679449413?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,40,3,119,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1405,700,0,705,0,0,0,0,0,796559987055409573,Apartment in El Poblado,01/18/25 - 01/21/25,111,13,11,4.88,4.88 (17),12,https://www.airbnb.com/rooms/796559987055409573?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,93,0.8378378378,18,0,18,0.1621621622,2 beds,,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1400,665,0,735,0,0,0,0,0,1181190373752879455,Apartment in Medellín,01/18/25 - 01/21/25,122,20,14,4.94,4.94 (17),6,https://www.airbnb.com/rooms/1181190373752879455?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,124,1.016393443,0,17,17,0.1393442623,1 queen bed,TRUE,,TRUE,TRUE,,,TRUE,,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1400,700,0,700,0,0,0,0,0,615263216683244123,Vacation home in Medellín,01/18/25 - 01/21/25,111,13,10,4.87,4.87 (82),13,https://www.airbnb.com/rooms/615263216683244123?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.7747747748,9,16,25,0.2252252252,2 beds,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1395,635,0,760,0,0,0,0,0,1310157815739952582,Apartment in Medellín,01/18/25 - 01/21/25,132,26,21,5,5.0 (5),1,https://www.airbnb.com/rooms/1310157815739952582?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,42,3,161,1.21969697,7,0,7,0.05303030303,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,FALSE,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1395,635,0,760,0,0,0,0,0,1167945606446128498,Apartment in Medellín,01/18/25 - 01/21/25,132,26,17,5,5.0 (9),1,https://www.airbnb.com/rooms/1167945606446128498?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,38,3,114,0.8636363636,18,0,18,0.1363636364,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,,FALSE,FALSE,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1395,705,0,690,0,0,0,0,0,1130493849681855889,Apartment in Guayabal,01/18/25 - 01/21/25,110,12,7,4.85,4.85 (13),15,https://www.airbnb.com/rooms/1130493849681855889?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,76,0.6909090909,20,14,34,0.3090909091,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,FALSE,FALSE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1390,670,0,720,0,0,0,0,0,1103824789177234647,Loft in Medellín,01/18/25 - 01/21/25,119,19,19,4.91,4.91 (64),9,https://www.airbnb.com/rooms/1103824789177234647?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,40,3,119,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1385,720,0,665,0,0,0,0,0,1271147162761970978,Loft in Medellín,01/18/25 - 01/21/25,106,9,14,4.8,4.8 (20),20,https://www.airbnb.com/rooms/1271147162761970978?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,106,1,0,0,0,0,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,,,,TRUE,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1375,645,0,730,0,0,0,0,0,757489624580608447,Apartment in Medellín,01/18/25 - 01/21/25,130,24,16,4.93,4.93 (14),7,https://www.airbnb.com/rooms/757489624580608447?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,112,0.8615384615,18,0,18,0.1384615385,4 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,FALSE,TRUE,,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1375,745,0,630,0,0,0,0,0,832066808120820446,Apartment in Medellín,01/18/25 - 01/21/25,76,4,4,4.73,4.73 (70),27,https://www.airbnb.com/rooms/832066808120820446?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.7763157895,6,11,17,0.2236842105,,,TRUE,,TRUE,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1360,685,0,675,0,0,0,0,0,36520237,Apartment in Medellín,01/18/25 - 01/21/25,115,16,8,4.82,4.82 (76),18,https://www.airbnb.com/rooms/36520237?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,27,3,81,0.7043478261,18,16,34,0.2956521739,1 bed,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1350,660,0,690,0,0,0,0,0,1011793343837796308,Apartment in Medellín,01/18/25 - 01/21/25,123,21,14,4.85,4.85 (34),15,https://www.airbnb.com/rooms/1011793343837796308?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,105,0.8536585366,18,0,18,0.1463414634,2 beds,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1350,675,0,675,0,0,0,0,0,43850369,Apartment in Medellín,01/18/25 - 01/21/25,117,18,18,4.82,4.82 (275),18,https://www.airbnb.com/rooms/43850369?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,117,1,0,0,0,0,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1350,690,0,660,0,0,0,0,0,43744849,Apartment in Medellín,01/18/25 - 01/21/25,114,15,17,4.79,4.79 (337),21,https://www.airbnb.com/rooms/43744849?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,38,3,114,1,0,0,0,0,,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1345,615,0,730,0,0,0,0,0,1150371730425245990,Loft in Medellín,01/18/25 - 01/21/25,136,30,24,4.93,4.93 (44),7,https://www.airbnb.com/rooms/1150371730425245990?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,45,3,136,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1345,640,0,705,0,0,0,0,0,1271166198338904350,Loft in Laureles-Estadio,01/18/25 - 01/21/25,131,25,23,4.88,4.88 (16),12,https://www.airbnb.com/rooms/1271166198338904350?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,44,3,131,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
