,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Guest favorite,guest_favorite,Kitchen,Fast wifi – 67 Mbps,TV,Washer,Luggage dropoff allowed,Hair dryer,Microwave,Long term stays allowed,Carbon monoxide alarm,Smoke alarm,Garden view,Park view,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Exterior security cameras on property,Air conditioning,Superhost,Elevator,TV with standard cable,Refrigerator,Fast wifi – 321 Mbps,40 inch HDTV,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Shared outdoor pool - available all year,open specific hours,heated,Mountain view,City skyline view,Valley view,Wifi – 33 Mbps,Free parking garage on premises – 1 space,Shared hot tub - available all year,open specific hours,Shared sauna,55 inch HDTV with Netflix,Free carport on premises,31 inch HDTV with Netflix,HDTV with Netflix,Free dryer – In unit,Paid washer – In building,Fast wifi – 280 Mbps,Private backyard – Not fully fenced,Free washer – In building,Patio or balcony,Courtyard view,55 inch HDTV with Netflix,standard cable,HDTV with standard cable,Shared pool,Fast wifi – 178 Mbps,Free carport on premises – 2 spaces,55 inch HDTV with Amazon Prime Video,HBO Max,Netflix,premium cable,Shared backyard – Not fully fenced,TV with Netflix,Free street parking,Dryer,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 348 Mbps,55 inch HDTV,Paid street parking off premises,Pack ’n play/Travel crib - available upon request,HDTV with premium cable,Netflix,Central air conditioning,Fast wifi – 410 Mbps,Fast wifi – 249 Mbps,Shared outdoor pool - available all year,open specific hours,43 inch HDTV,Paid dryer – In building,55 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,premium cable,standard cable,Children’s books and toys,Fast wifi – 264 Mbps,Hot tub,32 inch HDTV with premium cable,Fast wifi – 327 Mbps,40 inch HDTV with Amazon Prime Video,Netflix,premium cable,standard cable,Disney+,AC - split type ductless system,MABE refrigerator,Fast wifi – 252 Mbps,Free residential garage on premises – 1 space,Dryer – In unit,Portable air conditioning,Backyard,Smoking allowed,Fast wifi – 193 Mbps,Fast wifi – 83 Mbps,Shared outdoor pool,Shared hot tub,43 inch HDTV with standard cable,premium cable,Netflix,Fast wifi – 344 Mbps,Haceb refrigerator,32 inch HDTV,Pool,Private hot tub - available all year,open 24 hours,43 inch HDTV with Netflix,standard cable,Free dryer – In building,50 inch HDTV,HACEB refrigerator
,11,1135,565,0,570,0,0,0,0,0,933296084329682125,,,,Place to stay in Envigado,01/18/25 - 01/21/25,87,10,8,4.9,4.9 (40),9,https://www.airbnb.com/rooms/933296084329682125?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,22,3,67,0.7701149425,8,12,20,0.2298850575,1 double bed,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,1130,605,0,525,0,0,0,0,0,984954368378591737,,,,Apartment in Envigado,01/18/25 - 01/21/25,71,2,10,4.81,4.81 (52),18,https://www.airbnb.com/rooms/984954368378591737?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,24,3,71,1,0,0,0,0,,,,TRUE,,TRUE,,,TRUE,,,FALSE,FALSE,,,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,1125,585,0,540,0,0,0,0,0,606520738809606016,,,,Apartment in Envigado,01/18/25 - 01/21/25,81,6,5,4.84,4.84 (49),15,https://www.airbnb.com/rooms/606520738809606016?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,19,3,56,0.6913580247,14,11,25,0.3086419753,2 beds,TRUE,TRUE,TRUE,,,,,,,,FALSE,FALSE,,,,TRUE,,TRUE,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,1115,505,0,610,0,0,0,0,0,1010955381308192685,,,,Home in Envigado,01/18/25 - 01/21/25,109,22,15,5,5.0 (12),1,https://www.airbnb.com/rooms/1010955381308192685?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,29,3,86,0.7889908257,8,15,23,0.2110091743,,TRUE,TRUE,TRUE,,,,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,1115,560,0,555,0,0,0,0,0,848496317149931172,,,,Apartment in Envigado,01/18/25 - 01/21/25,91,11,11,4.87,4.87 (23),12,https://www.airbnb.com/rooms/848496317149931172?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,25,3,75,0.8241758242,5,11,16,0.1758241758,,TRUE,TRUE,TRUE,,,,,,,,FALSE,FALSE,,,TRUE,TRUE,,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,1105,540,0,565,0,0,0,0,0,51049348,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,96,15,7,4.89,4.89 (99),10,https://www.airbnb.com/rooms/51049348?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,21,3,64,0.6666666667,20,12,32,0.3333333333,2 beds,TRUE,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,1095,555,0,540,0,0,0,0,0,881937919451851340,,,,Apartment in Envigado,01/18/25 - 01/21/25,92,12,10,4.84,4.84 (103),15,https://www.airbnb.com/rooms/881937919451851340?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,24,3,72,0.7826086957,7,13,20,0.2173913043,2 beds,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,FALSE,FALSE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,1085,530,0,555,0,0,0,0,0,979855321976956934,,,,Apartment in Medellín,01/18/25 - 01/21/25,101,17,11,4.87,4.87 (60),12,https://www.airbnb.com/rooms/979855321976956934?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,25,3,76,0.7524752475,11,14,25,0.2475247525,,,,TRUE,,TRUE,TRUE,,TRUE,TRUE,,FALSE,FALSE,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,1085,585,0,500,0,0,0,0,0,53891218,,,,Condo in Sabaneta,01/18/25 - 01/21/25,81,6,6,4.75,4.75 (120),23,https://www.airbnb.com/rooms/53891218?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,20,3,61,0.7530864198,9,11,20,0.2469135802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,1085,605,0,480,0,0,0,0,0,769394727070376809,,,,Apartment in Envigado,01/18/25 - 01/21/25,71,2,2,4.71,4.71 (41),27,https://www.airbnb.com/rooms/769394727070376809?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,15,3,45,0.6338028169,16,10,26,0.3661971831,,,,TRUE,,,,,,,,FALSE,FALSE,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,1080,510,0,570,0,0,0,0,0,1207365693539801549,,,,Apartment in Medellín,01/18/25 - 01/21/25,107,21,22,4.9,4.9 (10),9,https://www.airbnb.com/rooms/1207365693539801549?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,36,3,107,1,0,0,0,0,,,,TRUE,,,,,,,,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,1070,490,0,580,0,0,0,0,0,1196424335499666992,,,,Apartment in Envigado,01/18/25 - 01/21/25,116,25,12,4.92,4.92 (13),7,https://www.airbnb.com/rooms/1196424335499666992?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,26,3,78,0.6724137931,22,16,38,0.3275862069,,TRUE,TRUE,TRUE,,TRUE,,,,,,FALSE,FALSE,,,TRUE,,,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,1065,480,0,585,0,0,0,0,0,1189087338115319079,,,,Apartment in Envigado,01/18/25 - 01/21/25,122,27,21,4.93,4.93 (14),6,https://www.airbnb.com/rooms/1189087338115319079?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,35,3,105,0.8606557377,17,0,17,0.1393442623,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,1065,595,0,470,0,0,0,0,0,901609957694162798,,,,Apartment in Envigado,01/18/25 - 01/21/25,75,4,9,4.67,4.67 (39),29,https://www.airbnb.com/rooms/901609957694162798?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,23,3,68,0.9066666667,7,0,7,0.09333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,1060,450,0,610,0,0,0,0,0,1310157815739952582,,,,Apartment in Medellín,01/18/25 - 01/21/25,133,33,28,5,5.0 (5),1,https://www.airbnb.com/rooms/1310157815739952582?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,42,3,161,1.210526316,7,0,7,0.05263157895,,,,TRUE,,TRUE,TRUE,,,,,FALSE,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,1060,500,0,560,0,0,0,0,0,796559987055409573,,,,Apartment in Medellín,01/18/25 - 01/21/25,111,23,17,4.88,4.88 (17),11,https://www.airbnb.com/rooms/796559987055409573?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,31,3,93,0.8378378378,18,0,18,0.1621621622,2 beds,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,1060,570,0,490,0,0,0,0,0,861584171668930304,,,,Apartment in Envigado,01/18/25 - 01/21/25,86,9,6,4.73,4.73 (15),25,https://www.airbnb.com/rooms/861584171668930304?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,20,3,59,0.6860465116,15,12,27,0.3139534884,,,,TRUE,,TRUE,TRUE,,,,TRUE,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,1050,455,0,595,0,0,0,0,0,1267570302224081748,,,,Loft in Medellín,01/18/25 - 01/21/25,131,32,30,4.96,4.96 (24),4,https://www.airbnb.com/rooms/1267570302224081748?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,44,3,131,1,0,0,0,0,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,FALSE,FALSE,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,1050,465,0,585,0,0,0,0,0,51772615,,,,Apartment in Envigado,01/18/25 - 01/21/25,128,30,18,4.93,4.93 (101),6,https://www.airbnb.com/rooms/51772615?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,32,3,95,0.7421875,17,16,33,0.2578125,3 beds,TRUE,TRUE,TRUE,,,,,,,,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,1035,440,0,595,0,0,0,0,0,1049495384582433507,,,,Guesthouse in Envigado,01/18/25 - 01/21/25,136,35,20,4.96,4.96 (24),4,https://www.airbnb.com/rooms/1049495384582433507?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,34,3,103,0.7573529412,14,19,33,0.2426470588,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,1035,515,0,520,0,0,0,0,0,1271147162761970978,,,,Loft in Medellín,01/18/25 - 01/21/25,106,20,21,4.8,4.8 (20),19,https://www.airbnb.com/rooms/1271147162761970978?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,35,3,106,1,0,0,0,0,,,,,,TRUE,TRUE,,,,,FALSE,FALSE,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,1035,515,0,520,0,0,0,0,0,1054567527463027835,,,,Apartment in Envigado,01/18/25 - 01/21/25,106,20,14,4.8,4.8 (25),19,https://www.airbnb.com/rooms/1054567527463027835?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,28,3,87,0.820754717,10,13,23,0.2169811321,,,,,,TRUE,,,,,,FALSE,FALSE,,,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,1030,475,0,555,0,0,0,0,0,1171975557962287384,,,,Apartment in Envigado,01/18/25 - 01/21/25,123,28,19,4.87,4.87 (15),12,https://www.airbnb.com/rooms/1171975557962287384?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,33,3,100,0.8130081301,23,0,23,0.1869918699,3 beds,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,FALSE,FALSE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,1010,440,0,570,0,0,0,0,0,1148562372019029958,,,,Loft in Medellín,01/18/25 - 01/21/25,136,35,31,4.9,4.9 (42),9,https://www.airbnb.com/rooms/1148562372019029958?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,45,3,136,1,0,0,0,0,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,1010,485,0,525,0,0,0,0,0,1049402229637003506,,,,Guesthouse in Envigado,01/18/25 - 01/21/25,121,26,16,4.81,4.81 (21),18,https://www.airbnb.com/rooms/1049402229637003506?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,30,3,90,0.7438016529,14,17,31,0.2561983471,,,,TRUE,,TRUE,,TRUE,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
